epoch,train_loss,valid_loss,pixel_accuracy,dice,jaccard,time
0,0.5076488256454468,0.48423078656196594,0.9236243367195129,1.2700635352302925e-06,6.350333592308743e-07,02:41
1,0.4753006100654602,0.47130924463272095,0.9236226677894592,8.263627023552544e-06,4.131851255806396e-06,02:38
2,0.45281505584716797,0.4575504958629608,0.9236172437667847,4.312946111895144e-05,2.156568007194437e-05,02:35
3,0.40907344222068787,0.44432610273361206,0.9236131906509399,0.0001244582235813141,6.223769014468417e-05,02:35
4,0.42536070942878723,0.4283962845802307,0.9235466718673706,0.0009476631530560553,0.00047438745968975127,02:36
5,0.40414074063301086,0.4163087010383606,0.9235008358955383,0.002541118999943137,0.0012754980707541108,02:35
6,0.3649260103702545,0.40677282214164734,0.9235845804214478,0.0026753805577754974,0.001344069722108543,02:39
7,0.41119202971458435,0.3951987028121948,0.9231948256492615,0.014889068901538849,0.007649342529475689,02:37
8,0.40968066453933716,0.38441526889801025,0.9229864478111267,0.01955377496778965,0.010115501470863819,02:41
9,0.37157246470451355,0.37393051385879517,0.9236069917678833,0.013907280750572681,0.007144104223698378,02:41
10,0.347627729177475,0.36266082525253296,0.9236099720001221,0.022324813529849052,0.01166517473757267,02:41
11,0.34829339385032654,0.35937240719795227,0.9234751462936401,0.027541909366846085,0.014532739296555519,02:41
12,0.3749365210533142,0.35285550355911255,0.9235968589782715,0.027230244129896164,0.014347683638334274,02:40
13,0.34966495633125305,0.3488365411758423,0.9236413240432739,0.031002745032310486,0.016484195366501808,02:37
14,0.3627067506313324,0.3454109728336334,0.9237794280052185,0.028452744707465172,0.01504753902554512,02:38
15,0.3542608618736267,0.3439463675022125,0.9237044453620911,0.03461394086480141,0.018564820289611816,02:39
16,0.33737415075302124,0.341110497713089,0.9239240884780884,0.03076014295220375,0.016376487910747528,02:36
17,0.33685240149497986,0.3388530910015106,0.9239132404327393,0.03373100981116295,0.018072275444865227,02:39
18,0.32576650381088257,0.33752554655075073,0.9240309596061707,0.027510544285178185,0.01454836130142212,02:38
19,0.3377552330493927,0.3338620960712433,0.923841118812561,0.04197949916124344,0.022826706990599632,02:39
20,0.3041922450065613,0.3337022364139557,0.9240962862968445,0.028907349333167076,0.015318172983825207,02:40
21,0.325226366519928,0.3310149908065796,0.9240687489509583,0.038720835000276566,0.02087911032140255,02:38
22,0.3311344087123871,0.3310126066207886,0.9241034984588623,0.04156370460987091,0.022351983934640884,02:38
23,0.2939208149909973,0.33140990138053894,0.924149751663208,0.03359519690275192,0.01790170557796955,02:39
24,0.3331107497215271,0.33022341132164,0.9243412017822266,0.04935524985194206,0.026383621618151665,02:38
25,0.33443447947502136,0.33113038539886475,0.9240702986717224,0.04558005928993225,0.024613067507743835,02:39
26,0.32345256209373474,0.3293113708496094,0.9242967963218689,0.03753894194960594,0.01981324888765812,02:37
27,0.3257315158843994,0.3295213282108307,0.9244884848594666,0.050889741629362106,0.02709123119711876,02:37
28,0.33603596687316895,0.3301040530204773,0.924453616142273,0.054488230496644974,0.02919614501297474,02:38
29,0.3403548002243042,0.33070939779281616,0.9243475794792175,0.04305041953921318,0.02285110391676426,02:39
