epoch,train_loss,valid_loss,pixel_accuracy,dice,jaccard,time
0,0.24996434152126312,0.2586357295513153,0.9257882833480835,0.2622000575065613,0.22548320889472961,03:14
1,0.2507314085960388,0.24534492194652557,0.9277125597000122,0.34232839941978455,0.2773860991001129,03:14
2,0.22773167490959167,0.21846391260623932,0.9335277676582336,0.40304794907569885,0.31419962644577026,03:12
3,0.22662365436553955,0.21225455403327942,0.9363366961479187,0.4551124572753906,0.3591529428958893,03:12
4,0.21352961659431458,0.2519145905971527,0.9247827529907227,0.5150187015533447,0.40712109208106995,03:13
5,0.20541417598724365,0.20855899155139923,0.9358096122741699,0.4536081850528717,0.36105257272720337,03:12
6,0.190264031291008,0.20294246077537537,0.937981903553009,0.5213908553123474,0.4125482439994812,03:13
7,0.16621936857700348,0.20420654118061066,0.938926637172699,0.4849703907966614,0.38669949769973755,03:14
8,0.1407313197851181,0.19142350554466248,0.9376556873321533,0.5337592959403992,0.4269029200077057,03:12
9,0.15572574734687805,0.20573097467422485,0.9429481625556946,0.521210253238678,0.4155212342739105,03:12
10,0.1536586582660675,0.2409009039402008,0.9117476940155029,0.5133845806121826,0.4045805037021637,03:12
11,0.15623165667057037,0.2010200172662735,0.9290915131568909,0.5840869545936584,0.46148666739463806,03:13
12,0.12145324051380157,0.2085014134645462,0.9412887096405029,0.5626097917556763,0.4438374936580658,03:13
13,0.12165505439043045,0.23179954290390015,0.9426835775375366,0.5369466543197632,0.43442121148109436,03:14
14,0.10288047790527344,0.21352581679821014,0.9398002624511719,0.5877818465232849,0.4667646288871765,03:14
15,0.10950323194265366,0.21022649109363556,0.9421716928482056,0.5810104012489319,0.4578929543495178,03:13
16,0.11213003844022751,0.19328275322914124,0.9410281777381897,0.6052142977714539,0.48313069343566895,03:13
17,0.08720242232084274,0.21398895978927612,0.9423254728317261,0.6039814949035645,0.4750770032405853,03:11
18,0.07588734477758408,0.22089222073554993,0.941601574420929,0.6056437492370605,0.4835438132286072,03:14
19,0.08064760267734528,0.2045600712299347,0.9417734146118164,0.6303489804267883,0.4985141158103943,03:13
20,0.07666923105716705,0.2137189507484436,0.9412705898284912,0.6366083025932312,0.5044817328453064,03:13
21,0.07051704823970795,0.23649021983146667,0.9428467154502869,0.6186872720718384,0.4901551306247711,03:14
22,0.06447576731443405,0.2394062727689743,0.9436076283454895,0.6287611722946167,0.49900874495506287,03:12
23,0.06014411896467209,0.23286783695220947,0.9444246888160706,0.6268534064292908,0.4990578293800354,03:11
24,0.05855066329240799,0.24129724502563477,0.9451528191566467,0.6283379793167114,0.4996713697910309,03:12
25,0.05822403356432915,0.23912447690963745,0.9428248405456543,0.6280215382575989,0.49810105562210083,03:13
26,0.052288006991147995,0.24008753895759583,0.9439190030097961,0.626623809337616,0.4968065619468689,03:13
27,0.05923985317349434,0.23867028951644897,0.9435638785362244,0.6420809626579285,0.5109164714813232,03:12
28,0.05957677215337753,0.23626762628555298,0.9437905550003052,0.6345500946044922,0.5043491125106812,03:13
29,0.052548687905073166,0.23674951493740082,0.942868709564209,0.6415718197822571,0.5100937485694885,03:13
