epoch,train_loss,valid_loss,pixel_accuracy,dice,jaccard,time
0,0.28756099939346313,0.339232861995697,0.924075186252594,0.2034357786178589,0.19060595333576202,07:31
1,0.2667316198348999,0.36317649483680725,0.9238062500953674,0.1962597668170929,0.18686805665493011,07:28
2,0.2651817202568054,0.3478604555130005,0.9263275861740112,0.2653277814388275,0.22610656917095184,07:28
3,0.20093008875846863,0.3059062659740448,0.9276531934738159,0.317425936460495,0.2577109932899475,07:33
4,0.2703177034854889,0.3135097324848175,0.9292628765106201,0.3603003919124603,0.28536877036094666,07:33
5,0.14881083369255066,0.37104687094688416,0.9288920760154724,0.35769447684288025,0.28246572613716125,07:33
6,0.12179967015981674,0.374208927154541,0.927298903465271,0.3940156102180481,0.3070679306983948,07:33
7,0.10506900399923325,0.41639673709869385,0.9291605353355408,0.3902738094329834,0.30515748262405396,07:35
8,0.08291220664978027,0.44155141711235046,0.9268484115600586,0.4092824459075928,0.31783708930015564,07:35
9,0.07108272612094879,0.4887264668941498,0.9299910664558411,0.3857436776161194,0.30273354053497314,07:32
10,0.06329699605703354,0.6047989130020142,0.9294146299362183,0.3594709038734436,0.2849794626235962,07:37
11,0.05146104842424393,0.5163721442222595,0.9272804260253906,0.4027370810508728,0.31424111127853394,07:34
12,0.0785803273320198,0.43322664499282837,0.9251691102981567,0.41010966897010803,0.3187832236289978,07:33
13,0.04951484128832817,0.5054168105125427,0.9304106831550598,0.3989829123020172,0.3116716742515564,07:36
14,0.04330949857831001,0.5417253375053406,0.9303985238075256,0.3960285782814026,0.309856116771698,07:36
15,0.04152315855026245,0.526602566242218,0.9305899143218994,0.4113492965698242,0.32100218534469604,07:34
16,0.03854025527834892,0.6073886752128601,0.9305130839347839,0.385301411151886,0.30174338817596436,07:33
17,0.03599230572581291,0.5511945486068726,0.9298015236854553,0.4187629222869873,0.32683494687080383,07:34
18,0.03524155914783478,0.6259312033653259,0.9313168525695801,0.40020817518234253,0.3134627044200897,07:37
19,0.037937719374895096,0.6068518757820129,0.9313265681266785,0.4262568950653076,0.33333325386047363,07:36
20,0.03289707005023956,0.6694291234016418,0.9304198026657104,0.3938215374946594,0.30857667326927185,07:33
21,0.032699111849069595,0.6764703392982483,0.9302101135253906,0.4145216941833496,0.3231737017631531,07:35
22,0.02919429913163185,0.634143590927124,0.9306601881980896,0.4234207272529602,0.33083564043045044,07:37
23,0.027524452656507492,0.7513554096221924,0.9309970140457153,0.39593401551246643,0.3092992305755615,07:36
24,0.028342759236693382,0.7221925854682922,0.9311188459396362,0.40501731634140015,0.31672659516334534,07:33
25,0.02209123969078064,0.7642517685890198,0.9302178025245667,0.4044507145881653,0.3165627121925354,07:33
26,0.025189053267240524,0.8247852921485901,0.9306649565696716,0.39105457067489624,0.30674439668655396,07:33
27,0.02327173389494419,0.732450544834137,0.9310290813446045,0.408197820186615,0.3186795115470886,07:34
28,0.02236124314367771,0.7638776898384094,0.9306501746177673,0.40225300192832947,0.31438493728637695,07:36
29,0.024274317547678947,0.7495356798171997,0.9306474328041077,0.408364862203598,0.3188486695289612,07:36
